id,name,side,count,grouping,image,summary,tip,source_url
1,Bullish Engulfing,Bullish,2,ขาขึ้น 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Bullish+Engulfing,"แท่งเขียวกลืนแท่งแดงก่อนหน้า สัญญาณกลับตัวขึ้น","ให้เกิดหลังขาลง ถ้าวอลุ่มมากยิ่งดี",https://www.investopedia.com/terms/b/bullishengulfingpattern.asp
2,Bearish Engulfing,Bearish,2,ขาลง 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Bearish+Engulfing,"แท่งแดงกลืนแท่งเขียวก่อนหน้า สัญญาณกลับตัวลง","ให้เกิดหลังขึ้นแรงจะน่าเชื่อถือ",https://www.investopedia.com/terms/b/bearishengulfingpattern.asp
3,Hammer,Bullish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Hammer,"แท่งเดียวหางล่างยาว ตัวเทียนเล็ก บอกแรงซื้อกลับ","รอดูแท่งถัดไปปิดเขียวค่อยยืนยัน",https://www.investopedia.com/terms/h/hammer.asp
4,Hanging Man,Bearish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Hanging+Man,"หน้าตาเหมือน Hammer แต่เกิดบนยอด สัญญาณลง","ใช้คู่กับแนวต้าน/โซน supply",https://www.investopedia.com/terms/h/hangingman.asp
5,Inverted Hammer,Bullish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Inverted+Hammer,"แท่งเดียวหางบนยาว เกิดท้ายขาลง บอกเริ่มมีแรงซื้อ","ต้องยืนยันด้วยแท่งเขียวถัดไป",https://www.investopedia.com/terms/i/invertedhammer.asp
6,Shooting Star,Bearish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Shooting+Star,"หางบนยาว ตัวเล็ก เกิดตอนปลายขาขึ้น แรงขายชนะ","ถ้าปริมาณมากหรือใกล้แนวต้านจะดี",https://www.investopedia.com/terms/s/shootingstar.asp
7,Piercing Pattern,Bullish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Piercing+Pattern,"แท่งเขียวแทงทะลุครึ่งแท่งแดงก่อนหน้า","ให้แท่งเขียวปิดเกิน 50% ของแท่งแดง",https://www.investopedia.com/terms/p/piercingpattern.asp
8,Dark Cloud Cover,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Dark+Cloud+Cover,"แท่งแดงปิดทับเกินครึ่งแท่งเขียวก่อนหน้า สัญญาณลง","ถ้าปิดใกล้จุดเปิดแท่งเขียวยิ่งแรง",https://www.investopedia.com/terms/d/dark-cloud-cover.asp
9,Morning Star,Bullish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Morning+Star,"ชุด 3 แท่ง กลางเล็ก/โดจิ ปลายเป็นเขียวใหญ่ สะท้อนการกลับตัวขึ้น","ดูให้แท่งที่ 3 ปิดเหนือกลางของแท่งแรก",https://www.investopedia.com/terms/m/morningstar.asp
10,Evening Star,Bearish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Evening+Star,"ตรงข้าม Morning Star ใช้ดูสัญญาณกลับตัวลง","ถ้าช่องว่าง (gap) จะน่าเชื่อถือขึ้น",https://www.investopedia.com/terms/e/eveningstar.asp
11,Three White Soldiers,Bullish,3,ต่อเนื่อง 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Three+White+Soldiers,"แท่งเขียว 3 แท่งเรียงกัน เปิดใกล้ปิดแท่งก่อนหน้า แรงซื้อชัด","ใช้เป็นสัญญาณเริ่มเทรนด์ขึ้น",https://www.investopedia.com/terms/t/three_white_soldiers.asp
