id,title,category,scenario,script,tip,source_url
1,Icebreaker สุภาพ,เปิดบทสนทนา,ใช้เปิดคุยกับลูกค้า/คนไม่รู้จัก,"สวัสดีครับ/ค่ะ ผมชื่อ… จาก… พอจะมีเวลาสัก 2 นาทีไหมครับ อยากเล่าไอเดียสั้นๆ ให้ฟัง","พูดสั้น ชัด ยิ้มก่อน",
2,ชมก่อนเข้าสาระ,เปิดบทสนทนา,ใช้ตอนเข้าหาหัวหน้า/ลูกค้า,"ก่อนอื่นต้องบอกเลยว่าผลงานรอบนี้ดีมากครับ เลยอยากขอเสนอต่ออีกนิด","ชมให้ตรงจุด ไม่เว่อร์",
3,ตั้งกรอบเวลาชัด,เปิดบทสนทนา,ใช้ตอนอีกฝ่ายยุ่ง,"ผมจะใช้เวลาไม่เกิน 5 นาที เล่าให้เห็นภาพก่อนครับ","บอกเวลาทำให้อีกฝ่ายยอมฟังง่าย",
4,เชื่อมโยงเรื่องเดิม,เปิดบทสนทนา,ใช้ตอน follow up ครั้งที่ 2,"ครั้งก่อนที่เราคุยกันเรื่อง… วันนี้ผมมีตัวอย่างเพิ่มมาให้ดูครับ","อ้างอิงเรื่องเก่าลดความเกร็ง",
5,ถามปลายเปิดเบาๆ,เปิดบทสนทนา,ใช้ตอนเริ่มประชุม,"วันนี้ทุกคนเป็นยังไงกันบ้างครับ อยากฟังสั้นๆ คนละนิด","คำถามปลายเปิดทำให้ห้องไม่เงียบ",
6,ยืนยันจุดประสงค์,เปิดบทสนทนา,ใช้ตอนเริ่มคอล,"วันนี้ตั้งใจมาอัปเดตความคืบหน้ากับขออนุมัติ 1 เรื่องครับ","พูดให้รู้ว่าจะคุยเรื่องอะไร",
7,เปิดด้วยปัญหาเดียวกัน,เปิดบทสนทนา,ใช้กับเพื่อนร่วมงาน,"ช่วงนี้หลายทีมติดเรื่อง timeline เหมือนกัน ผมเลยอยากมาชวนคุยทางออก","แสดงว่าเราอยู่ฝั่งเดียวกัน",
8,ตัวเลือก 2 ทาง,เปิดบทสนทนา,ใช้ตอนนัดเวลา,"สะดวกพรุ่งนี้บ่าย หรือมะรืนเช้าดีกว่าครับ","ให้เลือก 2 ตัวช่วยตัดสินใจเร็ว",
9,เอ่ยชื่ออีกฝ่าย,เปิดบทสนทนา,ใช้ทุกสถานการณ์,"พี่เอกครับ ผมมีอัปเดตสั้นๆ เรื่องโปรเจกต์ครับ","เรียกชื่อทำให้รู้สึกเป็นส่วนตัว",
10,ทวนโจทย์ก่อนพูด,เปิดบทสนทนา,ใช้ตอนเข้าหาประชุม,"เพื่อให้ตรงกัน ผมเข้าใจว่าเรามาคุยเรื่อง… ใช่ไหมครับ","ทวนโจทย์กันก่อนลดหลงทาง",
11,โครงสร้าง 3 ส่วน,นำเสนอ/ปิดการขาย,ใช้ตอนพรีเซนต์,"ผมจะเล่า 3 ส่วนครับ คือปัญหา วิธีแก้ และผลลัพธ์ที่ได้","แจ้งโครงสร้างก่อน คนฟังตามง่าย",
12,เริ่มจากปัญหาที่เจอจริง,นำเสนอ/ปิดการขาย,ใช้ตอนขายของ,"ตอนนี้หลายบริษัทเจอปัญหา… ซึ่งเรามีวิธีลดเรื่องนี้ได้","ดึงความเจ็บปวดขึ้นมาก่อนแล้วค่อยขาย",
13,เปรียบเทียบก่อน-หลัง,นำเสนอ/ปิดการขาย,ใช้ตอนขายระบบ,"ถ้ายังทำแบบเดิมใช้เวลา 3 วัน แต่ถ้าใช้ตัวนี้เหลือแค่ครึ่งวัน","ทำให้เห็นความต่างชัด",
14,เล่าจากเคสลูกค้าจริง,นำเสนอ/ปิดการขาย,ใช้ตอนพรีเซนต์ลูกค้าใหม่,"ลูกค้ากลุ่มอสังหาฯ ที่ใช้เราอยู่ เขาลดต้นทุนไปได้…","เคสจริงน่าเชื่อถือกว่า",
15,ย้ำผลลัพธ์เป็นตัวเลข,นำเสนอ/ปิดการขาย,ใช้ทุกงานขาย,"สรุปคือช่วยลดเวลาได้ประมาณ 40% ในเดือนแรก","ตัวเลขทำให้จับต้องได้",
16,ใช้ภาษาง่ายไม่เทคนิค,นำเสนอ/ปิดการขาย,ใช้กับผู้บริหาร,"พูดง่ายๆ มันคือระบบช่วยให้ทีมทำงานซ้ำๆ ไวขึ้นครับ","อย่าใช้ศัพท์ยากถ้าไม่จำเป็น",
17,ให้ดูเดโมสั้นๆ,นำเสนอ/ปิดการขาย,ใช้ตอนคุยออนไลน์,"ผมกดให้ดูเลยนะครับ แค่คลิกตรงนี้ก็…","เห็นภาพจริงตัดสินใจง่าย",
